,Fecha,CasosAcumulados,CasosDiarios
0,2020-03-10,22.0,3.0
1,2020-03-11,38.0,16.0
2,2020-03-12,61.0,23.0
3,2020-03-13,87.0,26.0
4,2020-03-14,110.0,23.0
5,2020-03-15,120.0,10.0
6,2020-03-16,148.0,28.0
7,2020-03-17,183.0,35.0
8,2020-03-18,214.0,31.0
9,2020-03-19,278.0,64.0
10,2020-03-20,314.0,36.0
11,2020-03-21,336.0,22.0
12,2020-03-22,352.0,16.0
13,2020-03-23,398.0,46.0
14,2020-03-24,460.0,62.0
15,2020-03-25,506.0,46.0
16,2020-03-26,577.0,71.0
17,2020-03-27,640.0,63.0
18,2020-03-28,702.0,62.0
19,2020-03-29,741.0,39.0
20,2020-03-30,823.0,82.0
21,2020-03-31,881.0,58.0
22,2020-04-01,951.0,70.0
23,2020-04-02,1036.0,85.0
24,2020-04-03,1135.0,99.0
25,2020-04-04,1199.0,64.0
26,2020-04-05,1258.0,59.0
27,2020-04-06,1399.0,141.0
28,2020-04-07,1543.0,144.0
29,2020-04-08,1683.0,140.0
30,2020-04-09,1833.0,150.0
31,2020-04-10,2007.0,174.0
32,2020-04-11,2134.0,127.0
33,2020-04-12,2259.0,125.0
34,2020-04-13,2552.0,293.0
35,2020-04-14,2819.0,267.0
36,2020-04-15,3075.0,256.0
37,2020-04-16,3344.0,269.0
38,2020-04-17,3698.0,354.0
39,2020-04-18,3911.0,213.0
40,2020-04-19,4126.0,215.0
41,2020-04-20,4632.0,506.0
42,2020-04-21,5117.0,485.0
43,2020-04-22,5583.0,466.0
44,2020-04-23,6001.0,418.0
45,2020-04-24,6572.0,571.0
46,2020-04-25,6884.0,312.0
47,2020-04-26,7167.0,283.0
48,2020-04-27,7717.0,550.0
49,2020-04-28,8336.0,619.0
50,2020-04-29,8991.0,655.0
51,2020-04-30,9600.0,609.0
52,2020-05-01,10008.0,408.0
53,2020-05-02,10389.0,381.0
54,2020-05-03,10739.0,350.0
55,2020-05-04,11531.0,792.0
56,2020-05-05,12179.0,648.0
57,2020-05-06,12920.0,741.0
58,2020-05-07,13702.0,782.0
59,2020-05-08,14557.0,855.0
60,2020-05-09,15008.0,451.0
61,2020-05-10,15427.0,419.0
62,2020-05-11,16306.0,879.0
63,2020-05-12,17187.0,881.0
64,2020-05-13,18112.0,925.0
65,2020-05-14,18963.0,851.0
66,2020-05-15,19975.0,1012.0
67,2020-05-16,20615.0,640.0
68,2020-05-17,21031.0,416.0
69,2020-05-18,22165.0,1134.0
70,2020-05-19,23244.0,1079.0
71,2020-05-20,24339.0,1095.0
72,2020-05-21,25356.0,1017.0
73,2020-05-22,26327.0,971.0
74,2020-05-23,26851.0,524.0
75,2020-05-24,27250.0,399.0
76,2020-05-25,28342.0,1092.0
77,2020-05-26,29296.0,954.0
78,2020-05-27,30317.0,1021.0
79,2020-05-28,31181.0,864.0
80,2020-05-29,32161.0,980.0
81,2020-05-30,32732.0,571.0
82,2020-05-31,33180.0,448.0
83,2020-06-01,34298.0,1118.0
84,2020-06-02,35246.0,948.0
85,2020-06-03,36262.0,1016.0
86,2020-06-04,37213.0,951.0
87,2020-06-05,38198.0,985.0
88,2020-06-06,38756.0,558.0
89,2020-06-07,39169.0,413.0
90,2020-06-08,40226.0,1057.0
91,2020-06-09,41243.0,1017.0
92,2020-06-10,42217.0,974.0
93,2020-06-11,43117.0,900.0
94,2020-06-12,44053.0,936.0
95,2020-06-13,44480.0,427.0
96,2020-06-14,44840.0,360.0
97,2020-06-15,45785.0,945.0
98,2020-06-16,46793.0,1008.0
99,2020-06-17,47768.0,975.0
100,2020-06-18,48724.0,956.0
101,2020-06-19,49623.0,899.0
102,2020-06-20,50092.0,469.0
103,2020-06-21,50390.0,298.0
104,2020-06-22,51294.0,904.0
105,2020-06-23,52195.0,901.0
106,2020-06-24,53032.0,837.0
107,2020-06-25,53887.0,855.0
108,2020-06-26,54826.0,939.0
109,2020-06-27,55210.0,384.0
110,2020-06-28,55553.0,343.0
111,2020-06-29,56536.0,983.0
112,2020-06-30,57478.0,942.0
113,2020-07-01,58506.0,1028.0
114,2020-07-02,59394.0,888.0
115,2020-07-03,60347.0,953.0
116,2020-07-04,60742.0,395.0
117,2020-07-05,60995.0,253.0
118,2020-07-06,62004.0,1009.0
119,2020-07-07,62968.0,964.0
120,2020-07-08,63931.0,963.0
121,2020-07-09,64691.0,760.0
122,2020-07-10,65576.0,885.0
123,2020-07-11,66001.0,425.0
124,2020-07-12,66273.0,272.0
125,2020-07-13,67356.0,1083.0
126,2020-07-14,68294.0,938.0
127,2020-07-15,69528.0,1234.0
128,2020-07-16,70678.0,1150.0
129,2020-07-17,71874.0,1196.0
130,2020-07-18,72547.0,673.0
131,2020-07-19,72824.0,277.0
132,2020-07-20,73991.0,1167.0
133,2020-07-21,75165.0,1174.0
134,2020-07-22,76383.0,1218.0
135,2020-07-23,77511.0,1128.0
136,2020-07-24,78592.0,1081.0
137,2020-07-25,79160.0,568.0
138,2020-07-26,79432.0,272.0
139,2020-07-27,80506.0,1074.0
140,2020-07-28,81590.0,1084.0
141,2020-07-29,82687.0,1097.0
142,2020-07-30,83754.0,1067.0
143,2020-07-31,84705.0,951.0
144,2020-08-01,85259.0,554.0
145,2020-08-02,85533.0,274.0
146,2020-08-03,86413.0,880.0
