,Fecha,CasosAcumulados,CasosDiarios
0,2020-03-20,21.0,6.0
1,2020-03-21,21.0,0.0
2,2020-03-22,29.0,8.0
3,2020-03-23,35.0,6.0
4,2020-03-24,44.0,9.0
5,2020-03-25,49.0,5.0
6,2020-03-26,49.0,0.0
7,2020-03-27,52.0,3.0
8,2020-03-28,57.0,5.0
9,2020-03-29,61.0,4.0
10,2020-03-30,71.0,10.0
11,2020-03-31,75.0,4.0
12,2020-04-01,84.0,9.0
13,2020-04-02,87.0,3.0
14,2020-04-03,97.0,10.0
15,2020-04-04,99.0,2.0
16,2020-04-05,104.0,5.0
17,2020-04-06,118.0,14.0
18,2020-04-07,131.0,13.0
19,2020-04-08,141.0,10.0
20,2020-04-09,152.0,11.0
21,2020-04-10,157.0,5.0
22,2020-04-11,165.0,8.0
23,2020-04-12,174.0,9.0
24,2020-04-13,196.0,22.0
25,2020-04-14,217.0,21.0
26,2020-04-15,248.0,31.0
27,2020-04-16,262.0,14.0
28,2020-04-17,277.0,15.0
29,2020-04-18,287.0,10.0
30,2020-04-19,297.0,10.0
31,2020-04-20,325.0,28.0
32,2020-04-21,346.0,21.0
33,2020-04-22,368.0,22.0
34,2020-04-23,402.0,34.0
35,2020-04-24,439.0,37.0
36,2020-04-25,463.0,24.0
37,2020-04-26,484.0,21.0
38,2020-04-27,529.0,45.0
39,2020-04-28,578.0,49.0
40,2020-04-29,610.0,32.0
41,2020-04-30,670.0,60.0
42,2020-05-01,696.0,26.0
43,2020-05-02,726.0,30.0
44,2020-05-03,758.0,32.0
45,2020-05-04,811.0,53.0
46,2020-05-05,856.0,45.0
47,2020-05-06,889.0,33.0
48,2020-05-07,925.0,36.0
49,2020-05-08,964.0,39.0
50,2020-05-09,984.0,20.0
51,2020-05-10,1010.0,26.0
52,2020-05-11,1055.0,45.0
53,2020-05-12,1107.0,52.0
54,2020-05-13,1170.0,63.0
55,2020-05-14,1230.0,60.0
56,2020-05-15,1271.0,41.0
57,2020-05-16,1303.0,32.0
58,2020-05-17,1352.0,49.0
59,2020-05-18,1407.0,55.0
60,2020-05-19,1462.0,55.0
61,2020-05-20,1521.0,59.0
62,2020-05-21,1592.0,71.0
63,2020-05-22,1655.0,63.0
64,2020-05-23,1689.0,34.0
65,2020-05-24,1720.0,31.0
66,2020-05-25,1776.0,56.0
67,2020-05-26,1832.0,56.0
68,2020-05-27,1893.0,61.0
69,2020-05-28,1953.0,60.0
70,2020-05-29,2000.0,47.0
71,2020-05-30,2030.0,30.0
72,2020-05-31,2055.0,25.0
73,2020-06-01,2112.0,57.0
74,2020-06-02,2160.0,48.0
75,2020-06-03,2212.0,52.0
76,2020-06-04,2256.0,44.0
77,2020-06-05,2290.0,34.0
78,2020-06-06,2335.0,45.0
79,2020-06-07,2371.0,36.0
80,2020-06-08,2460.0,89.0
81,2020-06-09,2530.0,70.0
82,2020-06-10,2602.0,72.0
83,2020-06-11,2686.0,84.0
84,2020-06-12,2752.0,66.0
85,2020-06-13,2794.0,42.0
86,2020-06-14,2853.0,59.0
87,2020-06-15,2955.0,102.0
88,2020-06-16,3054.0,99.0
89,2020-06-17,3171.0,117.0
90,2020-06-18,3276.0,105.0
91,2020-06-19,3388.0,112.0
92,2020-06-20,3484.0,96.0
93,2020-06-21,3576.0,92.0
94,2020-06-22,3722.0,146.0
95,2020-06-23,3873.0,151.0
96,2020-06-24,4047.0,174.0
97,2020-06-25,4237.0,190.0
98,2020-06-26,4384.0,147.0
99,2020-06-27,4482.0,98.0
100,2020-06-28,4554.0,72.0
101,2020-06-29,4746.0,192.0
102,2020-06-30,4907.0,161.0
103,2020-07-01,5079.0,172.0
104,2020-07-02,5243.0,164.0
105,2020-07-03,5439.0,196.0
106,2020-07-04,5510.0,71.0
107,2020-07-05,5584.0,74.0
108,2020-07-06,5761.0,177.0
109,2020-07-07,5949.0,188.0
110,2020-07-08,6137.0,188.0
111,2020-07-09,6326.0,189.0
112,2020-07-10,6512.0,186.0
113,2020-07-11,6606.0,94.0
114,2020-07-12,6700.0,94.0
115,2020-07-13,6914.0,214.0
116,2020-07-14,7111.0,197.0
117,2020-07-15,7315.0,204.0
118,2020-07-16,7527.0,212.0
119,2020-07-17,7721.0,194.0
120,2020-07-18,7815.0,94.0
121,2020-07-19,7901.0,86.0
122,2020-07-20,8163.0,262.0
123,2020-07-21,8400.0,237.0
124,2020-07-22,8659.0,259.0
125,2020-07-23,8901.0,242.0
126,2020-07-24,9159.0,258.0
127,2020-07-25,9257.0,98.0
128,2020-07-26,9350.0,93.0
129,2020-07-27,9623.0,273.0
130,2020-07-28,9957.0,334.0
131,2020-07-29,10254.0,297.0
132,2020-07-30,10628.0,374.0
133,2020-07-31,10862.0,234.0
134,2020-08-01,10986.0,124.0
135,2020-08-02,11068.0,82.0
136,2020-08-03,11278.0,210.0
137,2020-08-04,11471.0,193.0
138,2020-08-05,11653.0,182.0
139,2020-08-06,11823.0,170.0
140,2020-08-07,11985.0,162.0
141,2020-08-08,12103.0,118.0
142,2020-08-09,12199.0,96.0
143,2020-08-10,12353.0,154.0
144,2020-08-11,12533.0,180.0
145,2020-08-12,12665.0,132.0
146,2020-08-13,12814.0,149.0
147,2020-08-14,12993.0,179.0
148,2020-08-15,13094.0,101.0
149,2020-08-16,13187.0,93.0
150,2020-08-17,13362.0,175.0
151,2020-08-18,13585.0,223.0
152,2020-08-19,13723.0,138.0
153,2020-08-20,13898.0,175.0
154,2020-08-21,14048.0,150.0
155,2020-08-22,14111.0,63.0
156,2020-08-23,14221.0,110.0
157,2020-08-24,14406.0,185.0
158,2020-08-25,14574.0,168.0
159,2020-08-26,14713.0,139.0
160,2020-08-27,14964.0,251.0
161,2020-08-28,15185.0,221.0
162,2020-08-29,15234.0,49.0
163,2020-08-30,15282.0,48.0
164,2020-08-31,15455.0,173.0
165,2020-09-01,15596.0,141.0
166,2020-09-02,15765.0,169.0
167,2020-09-03,15930.0,165.0
168,2020-09-04,16078.0,148.0
169,2020-09-05,16144.0,66.0
170,2020-09-06,16217.0,73.0
171,2020-09-07,16402.0,185.0
172,2020-09-08,16585.0,183.0
173,2020-09-09,16734.0,149.0
174,2020-09-10,16879.0,145.0
175,2020-09-11,17014.0,135.0
176,2020-09-12,17082.0,68.0
177,2020-09-13,17140.0,58.0
178,2020-09-14,17238.0,98.0
179,2020-09-15,17355.0,117.0
180,2020-09-16,17392.0,37.0
181,2020-09-17,17551.0,159.0
182,2020-09-18,17670.0,119.0
183,2020-09-19,17737.0,67.0
184,2020-09-20,17783.0,46.0
185,2020-09-21,17923.0,140.0
186,2020-09-22,18064.0,141.0
187,2020-09-23,18203.0,139.0
188,2020-09-24,18364.0,161.0
189,2020-09-25,18471.0,107.0
190,2020-09-26,18502.0,31.0
191,2020-09-27,18557.0,55.0
192,2020-09-28,18683.0,126.0
193,2020-09-29,18794.0,111.0
194,2020-09-30,18907.0,113.0
195,2020-10-01,19014.0,107.0
196,2020-10-02,19109.0,95.0
197,2020-10-03,19137.0,28.0
198,2020-10-04,19181.0,44.0
199,2020-10-05,19311.0,130.0
200,2020-10-06,19413.0,102.0
201,2020-10-07,19439.0,26.0
202,2020-10-08,19513.0,74.0
203,2020-10-09,19613.0,100.0
204,2020-10-10,19659.0,46.0
205,2020-10-11,19712.0,53.0
206,2020-10-12,19851.0,139.0
207,2020-10-13,20026.0,175.0
208,2020-10-14,20135.0,109.0
209,2020-10-15,20247.0,112.0
210,2020-10-16,20380.0,133.0
211,2020-10-17,20456.0,76.0
212,2020-10-18,20490.0,34.0
213,2020-10-19,20622.0,132.0
214,2020-10-20,20818.0,196.0
215,2020-10-21,20981.0,163.0
216,2020-10-22,21123.0,142.0
217,2020-10-23,21232.0,109.0
218,2020-10-24,21285.0,53.0
219,2020-10-25,21328.0,43.0
220,2020-10-26,21432.0,104.0
221,2020-10-27,21467.0,35.0
222,2020-10-28,21553.0,86.0
223,2020-10-29,21653.0,100.0
224,2020-10-30,21724.0,71.0
225,2020-10-31,21767.0,43.0
226,2020-11-01,21797.0,30.0
227,2020-11-02,21861.0,64.0
228,2020-11-03,21948.0,87.0
229,2020-11-04,22021.0,73.0
230,2020-11-05,22090.0,69.0
231,2020-11-06,22171.0,81.0
232,2020-11-07,22210.0,39.0
233,2020-11-08,22254.0,44.0
234,2020-11-09,22324.0,70.0
235,2020-11-10,22444.0,120.0
236,2020-11-11,22522.0,78.0
237,2020-11-12,22674.0,152.0
238,2020-11-13,22745.0,71.0
239,2020-11-14,22792.0,47.0
240,2020-11-15,22830.0,38.0
241,2020-11-16,22864.0,34.0
242,2020-11-17,22951.0,87.0
243,2020-11-18,23066.0,115.0
244,2020-11-19,23169.0,103.0
245,2020-11-20,23289.0,120.0
246,2020-11-21,23368.0,79.0
247,2020-11-22,23429.0,61.0
248,2020-11-23,23589.0,160.0
249,2020-11-24,23693.0,104.0
250,2020-11-25,23825.0,132.0
251,2020-11-26,23938.0,113.0
252,2020-11-27,24004.0,66.0
253,2020-11-28,24057.0,53.0
254,2020-11-29,24092.0,35.0
255,2020-11-30,24187.0,95.0
256,2020-12-01,24289.0,102.0
257,2020-12-02,24403.0,114.0
258,2020-12-03,24513.0,110.0
259,2020-12-04,24591.0,78.0
260,2020-12-05,24632.0,41.0
261,2020-12-06,24674.0,42.0
262,2020-12-07,24762.0,88.0
263,2020-12-08,24862.0,100.0
264,2020-12-09,24949.0,87.0
265,2020-12-10,25032.0,83.0
266,2020-12-11,25132.0,100.0
267,2020-12-12,25180.0,48.0
268,2020-12-13,25230.0,50.0
269,2020-12-14,25404.0,174.0
270,2020-12-15,25540.0,136.0
271,2020-12-16,25660.0,120.0
272,2020-12-17,25756.0,96.0
273,2020-12-18,25846.0,90.0
274,2020-12-19,25892.0,46.0
275,2020-12-20,25923.0,31.0
276,2020-12-21,26023.0,100.0
277,2020-12-22,26140.0,117.0
278,2020-12-23,26210.0,70.0
279,2020-12-24,26291.0,81.0
280,2020-12-25,26321.0,30.0
281,2020-12-26,26366.0,45.0
282,2020-12-27,26408.0,42.0
283,2020-12-28,26516.0,108.0
284,2020-12-29,26623.0,107.0
285,2020-12-30,26721.0,98.0
286,2020-12-31,26832.0,111.0
287,2021-01-01,26868.0,36.0
288,2021-01-02,26939.0,71.0
289,2021-01-03,26984.0,45.0
290,2021-01-04,27121.0,137.0
291,2021-01-05,27304.0,183.0
292,2021-01-06,27451.0,147.0
293,2021-01-07,27600.0,149.0
294,2021-01-08,27750.0,150.0
295,2021-01-09,27819.0,69.0
296,2021-01-10,27875.0,56.0
297,2021-01-11,27994.0,119.0
298,2021-01-12,28130.0,136.0
299,2021-01-13,28233.0,103.0
300,2021-01-14,28350.0,117.0
301,2021-01-15,28497.0,147.0
302,2021-01-16,28542.0,45.0
303,2021-01-17,28596.0,54.0
304,2021-01-18,28694.0,98.0
305,2021-01-19,28847.0,153.0
306,2021-01-20,29021.0,174.0
307,2021-01-21,29148.0,127.0
308,2021-01-22,29276.0,128.0
309,2021-01-23,29342.0,66.0
310,2021-01-24,29400.0,58.0
311,2021-01-25,29542.0,142.0
312,2021-01-26,29691.0,149.0
313,2021-01-27,29839.0,148.0
314,2021-01-28,29992.0,153.0
315,2021-01-29,30105.0,113.0
316,2021-01-30,30141.0,36.0
317,2021-01-31,30176.0,35.0
318,2021-02-01,30220.0,44.0
319,2021-02-02,30385.0,165.0
320,2021-02-03,30503.0,118.0
321,2021-02-04,30595.0,92.0
322,2021-02-05,30668.0,73.0
323,2021-02-06,30703.0,35.0
324,2021-02-07,30758.0,55.0
325,2021-02-08,30887.0,129.0
326,2021-02-09,31004.0,117.0
327,2021-02-10,31125.0,121.0
328,2021-02-11,31223.0,98.0
329,2021-02-12,31319.0,96.0
330,2021-02-13,31369.0,50.0
331,2021-02-14,31412.0,43.0
332,2021-02-15,31524.0,112.0
333,2021-02-16,31611.0,87.0
334,2021-02-17,31720.0,109.0
335,2021-02-18,31832.0,112.0
336,2021-02-19,31928.0,96.0
337,2021-02-20,31972.0,44.0
338,2021-02-21,32007.0,35.0
339,2021-02-22,32131.0,124.0
340,2021-02-23,32270.0,139.0
341,2021-02-24,32373.0,103.0
342,2021-02-25,32465.0,92.0
343,2021-02-26,32612.0,147.0
344,2021-02-27,32666.0,54.0
345,2021-02-28,32710.0,44.0
346,2021-03-01,32850.0,140.0
347,2021-03-02,32977.0,127.0
348,2021-03-03,33087.0,110.0
349,2021-03-04,33213.0,126.0
350,2021-03-05,33313.0,100.0
351,2021-03-06,33351.0,38.0
352,2021-03-07,33391.0,40.0
353,2021-03-08,33497.0,106.0
354,2021-03-09,33591.0,94.0
355,2021-03-10,33698.0,107.0
356,2021-03-11,33795.0,97.0
357,2021-03-12,33885.0,90.0
358,2021-03-13,33927.0,42.0
359,2021-03-14,33956.0,29.0
360,2021-03-15,33989.0,33.0
361,2021-03-16,34102.0,113.0
362,2021-03-17,34210.0,108.0
363,2021-03-18,34304.0,94.0
364,2021-03-19,34389.0,85.0
365,2021-03-20,34432.0,43.0
366,2021-03-21,34470.0,38.0
367,2021-03-22,34567.0,97.0
368,2021-03-23,34648.0,81.0
369,2021-03-24,34729.0,81.0
370,2021-03-25,34815.0,86.0
371,2021-03-26,34890.0,75.0
372,2021-03-27,34915.0,25.0
373,2021-03-28,34942.0,27.0
